@relation 'german_credit-weka.filters.unsupervised.attribute.Remove-R2,5,8,11,13,16,18'

@attribute over_draft {<0,0<=X<200,>=200,'no checking'}
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute Average_Credit_Balance {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
<0,'all paid',furniture/equipment,<100,<1,'male div/sep',none,'life insurance',bank,own,skilled,yes,yes,bad
<0,'all paid','new car',<100,<1,'male single',none,car,bank,own,skilled,yes,yes,bad
<0,'critical/other existing credit',furniture/equipment,<100,<1,'female div/dep/mar',none,'life insurance',none,rent,skilled,none,yes,good
<0,'existing paid','used car',<100,4<=X<7,'male single',none,'no known property',stores,'for free',skilled,yes,yes,bad
'no checking','existing paid',radio/tv,'no known savings',>=7,'male single',none,car,none,own,skilled,yes,yes,good
<0,'delayed previously','new car',<100,1<=X<4,'male single',none,'real estate',none,own,'unskilled resident',none,yes,good
<0,'existing paid',furniture/equipment,<100,<1,'male single','co applicant','life insurance',none,own,'unskilled resident',none,no,good
0<=X<200,'existing paid',radio/tv,<100,<1,'female div/dep/mar',none,car,none,own,skilled,yes,yes,bad
'no checking','critical/other existing credit','new car',<100,1<=X<4,'male single',none,'real estate',none,own,skilled,none,yes,good
'no checking','critical/other existing credit',radio/tv,500<=X<1000,>=7,'male single',none,'life insurance',none,own,skilled,yes,yes,good
<0,'existing paid',radio/tv,<100,1<=X<4,'female div/dep/mar',none,car,bank,own,skilled,none,yes,good
0<=X<200,'delayed previously',radio/tv,100<=X<500,<1,'male single',none,'no known property',stores,own,'high qualif/self emp/mgmt',none,yes,bad
>=200,'existing paid',radio/tv,<100,1<=X<4,'female div/dep/mar',none,'real estate',none,own,'unskilled resident',none,yes,bad
0<=X<200,'existing paid',radio/tv,<100,<1,'male mar/wid',none,car,none,rent,'high qualif/self emp/mgmt',yes,yes,good
0<=X<200,'existing paid',education,<100,1<=X<4,'male single',none,'no known property',none,'for free',skilled,none,yes,bad
'no checking','critical/other existing credit','used car','no known savings',1<=X<4,'male single',none,'life insurance',none,own,'high qualif/self emp/mgmt',yes,yes,good
'no checking','existing paid','new car','no known savings',<1,'male single',none,'life insurance',none,own,'high qualif/self emp/mgmt',yes,yes,good
'no checking','existing paid','new car',<100,1<=X<4,'male single',none,'real estate',none,own,'unskilled resident',none,no,good
'no checking','existing paid',furniture/equipment,'no known savings',4<=X<7,'male single',none,car,stores,own,skilled,yes,yes,good
'no checking','critical/other existing credit','new car',<100,4<=X<7,'male single',none,'real estate',none,own,'unskilled resident',none,yes,good
<0,'existing paid',furniture/equipment,<100,<1,'female div/dep/mar',guarantor,'life insurance',none,rent,skilled,none,yes,good
0<=X<200,'no credits/all paid','new car',500<=X<1000,<1,'female div/dep/mar',none,car,none,own,skilled,none,yes,good
<0,'all paid',furniture/equipment,500<=X<1000,<1,'male single',none,'no known property',none,'for free',skilled,yes,yes,bad
'no checking','existing paid','new car','no known savings',unemployed,'male single',none,'no known property',none,own,'high qualif/self emp/mgmt',yes,yes,good
'no checking','existing paid',furniture/equipment,<100,<1,'male mar/wid','co applicant','life insurance',none,own,'unskilled resident',none,yes,bad
'no checking','existing paid',radio/tv,100<=X<500,>=7,'male single',none,car,none,own,skilled,none,yes,bad
0<=X<200,'critical/other existing credit',business,<100,unemployed,'male mar/wid',none,car,none,own,'unemp/unskilled non res',yes,yes,good
<0,'delayed previously',business,<100,4<=X<7,'male single',none,car,none,own,skilled,yes,yes,bad
0<=X<200,'existing paid','used car',500<=X<1000,<1,'female div/dep/mar',none,car,none,rent,skilled,none,yes,bad
'no checking','existing paid',furniture/equipment,<100,unemployed,'female div/dep/mar',none,car,none,own,'high qualif/self emp/mgmt',yes,yes,bad
<0,'existing paid','new car',<100,1<=X<4,'female div/dep/mar',guarantor,'life insurance',none,own,skilled,yes,yes,good
<0,'critical/other existing credit',radio/tv,>=1000,>=7,'female div/dep/mar',none,'life insurance',none,rent,'high qualif/self emp/mgmt',yes,yes,good
>=200,'critical/other existing credit',radio/tv,'no known savings',>=7,'male single',none,'life insurance',stores,own,'unskilled resident',none,yes,good
0<=X<200,'critical/other existing credit',radio/tv,<100,>=7,'male single',none,'real estate',none,own,'unskilled resident',none,yes,good
<0,'existing paid','new car',<100,1<=X<4,'male single',none,car,none,own,'unskilled resident',none,yes,bad
0<=X<200,'existing paid',furniture/equipment,100<=X<500,>=7,'male single',none,'no known property',none,'for free',skilled,none,yes,good
'no checking','critical/other existing credit',radio/tv,<100,>=7,'male mar/wid',none,'real estate',none,rent,skilled,none,yes,good
0<=X<200,'delayed previously','new car',<100,1<=X<4,'male div/sep',none,'life insurance',none,own,skilled,none,yes,good
'no checking','existing paid','new car','no known savings',1<=X<4,'male single',none,'no known property',none,own,skilled,none,yes,good
'no checking','existing paid',radio/tv,500<=X<1000,>=7,'male single',none,car,bank,own,skilled,yes,yes,bad
0<=X<200,'existing paid',repairs,<100,<1,'male mar/wid',none,'life insurance',none,own,'unskilled resident',none,yes,good
0<=X<200,'existing paid',radio/tv,'no known savings',1<=X<4,'female div/dep/mar',none,car,none,own,skilled,none,yes,good
0<=X<200,'critical/other existing credit',radio/tv,500<=X<1000,1<=X<4,'male single',none,'life insurance',none,own,'unskilled resident',none,yes,bad
'no checking','existing paid',radio/tv,<100,>=7,'female div/dep/mar',none,car,bank,rent,'high qualif/self emp/mgmt',yes,yes,good
'no checking','existing paid',radio/tv,'no known savings',4<=X<7,'male mar/wid',none,'life insurance',none,rent,skilled,yes,yes,good
<0,'critical/other existing credit','new car',<100,1<=X<4,'male single',none,'real estate',none,own,'unskilled resident',none,yes,good
0<=X<200,'existing paid',repairs,100<=X<500,1<=X<4,'male single',guarantor,'real estate',none,own,skilled,none,yes,good
'no checking','existing paid','new car',<100,1<=X<4,'male single',none,'life insurance',none,own,'unskilled resident',none,yes,good
<0,'all paid','new car',<100,unemployed,'female div/dep/mar','co applicant','no known property',none,rent,'unemp/unskilled non res',none,yes,bad
<0,'existing paid',business,<100,>=7,'male single','co applicant','no known property',none,rent,skilled,none,yes,bad
'no checking','critical/other existing credit',radio/tv,<100,1<=X<4,'female div/dep/mar',none,car,none,own,skilled,yes,yes,good
>=200,'existing paid',radio/tv,500<=X<1000,1<=X<4,'female div/dep/mar',none,car,none,own,'unskilled resident',none,yes,good
0<=X<200,'existing paid',radio/tv,<100,1<=X<4,'female div/dep/mar',guarantor,'real estate',none,own,skilled,none,yes,good
0<=X<200,'delayed previously',business,'no known savings',>=7,'male single',none,'life insurance',none,own,skilled,none,yes,good
'no checking','delayed previously','new car',<100,>=7,'male single',none,car,none,own,'unskilled resident',none,yes,bad
0<=X<200,'all paid','new car',100<=X<500,1<=X<4,'male mar/wid',none,'life insurance',none,rent,skilled,none,yes,bad
0<=X<200,'critical/other existing credit',furniture/equipment,<100,4<=X<7,'male single',none,'life insurance',none,own,skilled,none,yes,bad
'no checking','existing paid',business,<100,unemployed,'male single',none,car,bank,rent,'high qualif/self emp/mgmt',yes,yes,bad
>=200,'existing paid','new car',100<=X<500,1<=X<4,'female div/dep/mar',none,car,bank,own,'high qualif/self emp/mgmt',yes,yes,good
<0,'existing paid','used car',<100,1<=X<4,'male single',none,'life insurance',none,own,skilled,none,yes,bad
'no checking','critical/other existing credit',furniture/equipment,<100,4<=X<7,'male single',none,'life insurance',none,own,'unskilled resident',none,yes,good
<0,'critical/other existing credit',furniture/equipment,<100,1<=X<4,'female div/dep/mar',none,'life insurance',none,rent,skilled,none,yes,good
>=200,'no credits/all paid',business,<100,<1,'male div/sep',none,'life insurance',none,own,skilled,none,yes,good
'no checking','existing paid',radio/tv,100<=X<500,unemployed,'female div/dep/mar',none,'real estate',none,own,skilled,none,yes,good
<0,'existing paid','used car',<100,unemployed,'male single',none,'no known property',none,'for free','high qualif/self emp/mgmt',yes,yes,good
0<=X<200,'critical/other existing credit',radio/tv,<100,>=7,'male single',none,'life insurance',none,own,'unskilled resident',none,yes,good
'no checking','critical/other existing credit',education,'no known savings',<1,'male single',none,'life insurance',none,own,'unskilled resident',none,yes,good
'no checking','all paid',radio/tv,100<=X<500,>=7,'male single',none,car,bank,own,'unskilled resident',none,yes,good
<0,'existing paid',radio/tv,'no known savings',4<=X<7,'male mar/wid',none,car,none,rent,'unskilled resident',none,yes,good
<0,'existing paid',furniture/equipment,<100,unemployed,'male single',none,'life insurance',none,own,'high qualif/self emp/mgmt',yes,yes,good
'no checking','existing paid','new car','no known savings',>=7,'male single',none,car,none,own,skilled,yes,yes,good
'no checking','existing paid',furniture/equipment,<100,4<=X<7,'female div/dep/mar',none,'real estate',none,own,'unskilled resident',none,yes,good
<0,'existing paid','used car',<100,1<=X<4,'male div/sep',none,'life insurance',none,own,'high qualif/self emp/mgmt',yes,yes,good
'no checking','existing paid',radio/tv,<100,>=7,'male single',none,car,none,own,skilled,none,yes,good
<0,'existing paid',radio/tv,<100,1<=X<4,'male single',none,'no known property',none,'for free',skilled,yes,yes,bad
0<=X<200,'critical/other existing credit','used car',100<=X<500,unemployed,'male single',none,car,none,own,skilled,none,yes,good
